Survey,date,Site,Plant observed,Plant family,Flower visitor ID,Flower visitor_order,Flower visitor_family,Visitation frequency,flower units observed per plant species,Flower abundance,total area_sampled_m2,Visitor_type 
1,November 2010,LC_A-2,Hydrocotyle sp,ÊAraliaceas,No visits,No visits,No visits,0,7,0.035,200,No visits
1,November 2010,LC_A-2,Hypochaeris radicata,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
1,November 2010,LC_A-2,Linum usitatissimum,Linaceae,No visits,No visits,No visits,0,8,0.04,200,No visits
1,November 2010,LC_A-2,Lotus tenuis,Fabaceae,No visits,No visits,No visits,0,108,0.54,200,No visits
1,November 2010,LC_A-2,Lythrum hyssopifolia,Lythraceae,Toxomerus sp,Diptera,Syrphidae,7,1411,7.055,200,Fly
1,November 2010,LC_A-2,Nothoscordum nudicaule,Alliaceae,No visits,No visits,No visits,0,13,0.065,200,No visits
1,November 2010,LC_A-2,Pamphalea bupleurifolia,Asteraceae,No visits,No visits,No visits,0,5,0.025,200,No visits
1,November 2010,LC_A-2,Phyla canescens,Verbenaceae,No visits,No visits,No visits,0,7,0.035,200,No visits
1,November 2010,LC_A-2,Polygala linoides,Polygalaceae,No visits,No visits,No visits,0,13,0.065,200,No visits
1,November 2010,LC_A-2,Scutellaria racemosa,Lamiaceae,No visits,No visits,No visits,0,4,0.02,200,No visits
1,November 2010,LC_A-2,Sisyrinchium platense,Iridaceae,Lerodea eufala,Lepidoptera,Hesperiidae,1,754,3.77,200,butterfly
1,November 2010,LC_A-2,Sisyrinchium platense,Iridaceae,Toxomerus sp,Diptera,Syrphidae,2,754,3.77,200,Fly
1,November 2010,LC_A-2,Herbertia lahue,Iridaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
2,December 2010,LC_A-2,Centaurium pulchellum,Gentianacae,No visits,No visits,No visits,0,4925,24.625,200,No visits
2,December 2010,LC_A-2,Cypella herbertii,Iridaceae,No visits,No visits,No visits,0,88,0.44,200,No visits
2,December 2010,LC_A-2,Eryngium ebracteatum,Apiaceae,Allograpta exotica,Diptera,Syrphidae,2,38,0.19,200,Fly
2,December 2010,LC_A-2,Eryngium ebracteatum,Apiaceae,Oxysarcodexia varia,Diptera,Sarcophagidae,2,38,0.19,200,Fly
2,December 2010,LC_A-2,Lotus tenuis,Fabaceae,No visits,No visits,No visits,0,292,1.46,200,No visits
2,December 2010,LC_A-2,Malvella leprosa,Malvaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
2,December 2010,LC_A-2,Mentha pulegium,Lamiaceae,No visits,No visits,No visits,0,33,0.165,200,No visits
2,December 2010,LC_A-2,Phyla canescens,Verbenaceae,No visits,No visits,No visits,0,18,0.09,200,No visits
2,December 2010,LC_A-2,Sisyrinchium platense,Iridaceae,No visits,No visits,No visits,0,316,1.58,200,No visits
3,January 2011,LC_A-2,Centaurium pulchellum,Gentianacae,No visits,No visits,No visits,0,299,1.495,200,No visits
3,January 2011,LC_A-2,Cypella herbertii,Iridaceae,No visits,No visits,No visits,0,18,0.09,200,No visits
3,January 2011,LC_A-2,Eryngium coronatum,Apiaceae,Dialictus sp1,Hymenoptera,Halictidae,3,64,0.32,200,bee
3,January 2011,LC_A-2,Eryngium ebracteatum,Apiaceae,Chauliognatus scriptus,Coleoptera,Cantharidae,4,152,0.76,200,beetle
3,January 2011,LC_A-2,Eryngium ebracteatum,Apiaceae,Coleoptera sp4,Coleoptera,Coleoptera,1,152,0.76,200,beetle
3,January 2011,LC_A-2,Eryngium ebracteatum,Apiaceae,Coleoptera sp6,Coleoptera,Coleoptera,2,152,0.76,200,beetle
3,January 2011,LC_A-2,Eryngium ebracteatum,Apiaceae,Oxysarcodexia varia,Diptera,Sarcophagidae,9,152,0.76,200,Fly
3,January 2011,LC_A-2,Eryngium ebracteatum,Apiaceae,Tricharaea occidua,Diptera,Sarcophagidae,9,152,0.76,200,Fly
3,January 2011,LC_A-2,Agalinis communis,Orobanchaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
3,January 2011,LC_A-2,Hypochaeris radicata,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
3,January 2011,LC_A-2,Lotus tenuis,Fabaceae,No visits,No visits,No visits,0,1251,6.255,200,No visits
3,January 2011,LC_A-2,Mentha pulegium,Lamiaceae,No visits,No visits,No visits,0,36,0.18,200,No visits
3,January 2011,LC_A-2,Nothoscordum nudicaule,Alliaceae,Dialictus sp1,Hymenoptera,Halictidae,2,318,1.59,200,bee
3,January 2011,LC_A-2,Phyla canescens,Verbenaceae,No visits,No visits,No visits,0,46,0.23,200,No visits
4,february 2011,LC_A-2,Aster squamatus,Asteraceae,No visits,No visits,No visits,0,25,0.125,200,No visits
4,february 2011,LC_A-2,Centaurium pulchellum,Gentianacae,No visits,No visits,No visits,0,50,0.25,200,No visits
4,february 2011,LC_A-2,Cuphea glutinosa,Lythraceae,No visits,No visits,No visits,0,4,0.02,200,No visits
4,february 2011,LC_A-2,Cypella herbertii,Iridaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
4,february 2011,LC_A-2,Eryngium coronatum,Apiaceae,No visits,No visits,No visits,0,24,0.12,200,No visits
4,february 2011,LC_A-2,Eryngium ebracteatum,Apiaceae,Coleoptera sp4,Coleoptera,Coleoptera,1,119,0.595,200,beetle
4,february 2011,LC_A-2,Eryngium ebracteatum,Apiaceae,Lampyridae sp1,Coleoptera,Lampyridae,1,119,0.595,200,beetle
4,february 2011,LC_A-2,Eryngium ebracteatum,Apiaceae,Oxysarcodexia varia,Diptera,Sarcophagidae,33,119,0.595,200,Fly
4,february 2011,LC_A-2,Eryngium ebracteatum,Apiaceae,Tricharaea occidua,Diptera,Sarcophagidae,56,119,0.595,200,Fly
4,february 2011,LC_A-2,Agalinis communis,Orobanchaceae,No visits,No visits,No visits,0,9,0.045,200,No visits
4,february 2011,LC_A-2,Hypochaeris radicata,Asteraceae,No visits,No visits,No visits,0,2,0.01,200,No visits
4,february 2011,LC_A-2,Lotus tenuis,Fabaceae,No visits,No visits,No visits,0,198,0.99,200,No visits
4,february 2011,LC_A-2,Mentha pulegium,Lamiaceae,No visits,No visits,No visits,0,23,0.115,200,No visits
4,february 2011,LC_A-2,Nothoscordum nudicaule,Alliaceae,No visits,No visits,No visits,0,21,0.105,200,No visits
4,february 2011,LC_A-2,Oxalis sp,Oxalidaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
4,february 2011,LC_A-2,Pamphalea bupleurifolia,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
4,february 2011,LC_A-2,Phyla canescens,Verbenaceae,No visits,No visits,No visits,0,22,0.11,200,No visits
4,february 2011,LC_A-2,Stemodia lanceolata,Plantaginaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
5,March 2011,LC_A-2,Aster squamatus,Asteraceae,No visits,No visits,No visits,0,8,0.04,200,No visits
5,March 2011,LC_A-2,Centaurium pulchellum,Gentianacae,No visits,No visits,No visits,0,2,0.01,200,No visits
5,March 2011,LC_A-2,Conyza bonariensis,Asteraceae,No visits,No visits,No visits,0,5,0.025,200,No visits
5,March 2011,LC_A-2,Eryngium ebracteatum,Apiaceae,Tricharaea occidua,Diptera,Sarcophagidae,1,17,0.085,200,No visits
5,March 2011,LC_A-2,Agalinis communis,Orobanchaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
5,March 2011,LC_A-2,Hypochaeris radicata,Asteraceae,No visits,No visits,No visits,0,2,0.01,200,No visits
5,March 2011,LC_A-2,Linum usitatissimum,Linaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
5,March 2011,LC_A-2,Lotus tenuis,Fabaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
5,March 2011,LC_A-2,Oxalis sp,Oxalidaceae,No visits,No visits,No visits,0,11,0.055,200,No visits
1,November 2010,LC_Cl,Acmella decumbens,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
1,November 2010,LC_Cl,Aster squamatus,Asteraceae,No visits,No visits,No visits,0,40,0.2,200,No visits
1,November 2010,LC_Cl,Cypella herbertii,Iridaceae,No visits,No visits,No visits,0,11,0.055,200,No visits
1,November 2010,LC_Cl,Eryngium ebracteatum,Apiaceae,Aristosyrphus sp,Diptera,Syrphidae,1,7,0.035,200,Fly
1,November 2010,LC_Cl,Lythrum hyssopifolia,Lythraceae,No visits,No visits,No visits,0,81,0.405,200,No visits
1,November 2010,LC_Cl,Nothoscordum nudicaule,Alliaceae,No visits,No visits,No visits,0,6,0.03,200,No visits
1,November 2010,LC_Cl,Pamphalea bupleurifolia,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
1,November 2010,LC_Cl,Phyla canescens,Verbenaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
1,November 2010,LC_Cl,Sisyrinchium platense,Iridaceae,No visits,No visits,No visits,0,149,0.745,200,No visits
2,December 2010,LC_Cl,Eryngium ebracteatum,Apiaceae,Allograpta exotica,Diptera,Syrphidae,9,110,0.55,200,Fly
2,December 2010,LC_Cl,Eryngium ebracteatum,Apiaceae,Chauliognatus scriptus,Coleoptera,Cantharidae,3,110,0.55,200,beetle
2,December 2010,LC_Cl,Centaurium pulchellum,Gentianacae,No visits,No visits,No visits,0,67,0.335,200,No visits
2,December 2010,LC_Cl,Cypella herbertii,Iridaceae,No visits,No visits,No visits,0,12,0.06,200,No visits
2,December 2010,LC_Cl,Hypochaeris radicata,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
2,December 2010,LC_Cl,Lotus tenuis,Fabaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
2,December 2010,LC_Cl,Malvella leprosa,Malvaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
2,December 2010,LC_Cl,Pamphalea bupleurifolia,Asteraceae,No visits,No visits,No visits,0,2,0.01,200,No visits
2,December 2010,LC_Cl,Phyla canescens,Verbenaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
2,December 2010,LC_Cl,Sisyrinchium platense,Iridaceae,No visits,No visits,No visits,0,12,0.06,200,No visits
3,January 2011,LC_Cl,Cypella herbertii,Iridaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
3,January 2011,LC_Cl,Mentha pulegium,Lamiaceae,No visits,No visits,No visits,0,53,0.265,200,No visits
3,January 2011,LC_Cl,Centaurium pulchellum,Gentianacae,No visits,No visits,No visits,0,2,0.01,200,No visits
4,february 2011,LC_Cl,Baccharis pingraea,Asteraceae,No visits,No visits,No visits,0,7,0.035,200,No visits
4,february 2011,LC_Cl,Aster squamatus,Asteraceae,No visits,No visits,No visits,0,2,0.01,200,No visits
4,february 2011,LC_Cl,Centaurium pulchellum,Gentianacae,No visits,No visits,No visits,0,16,0.08,200,No visits
4,february 2011,LC_Cl,Cirsium vulgare,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
4,february 2011,LC_Cl,Cypella herbertii,Iridaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
4,february 2011,LC_Cl,Eryngium ebracteatum,Apiaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
4,february 2011,LC_Cl,Lotus tenuis,Fabaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
5,March 2011,LC_Cl,Aster squamatus,Asteraceae,No visits,No visits,No visits,0,15,0.075,200,No visits
5,March 2011,LC_Cl,Baccharis pingraea,Asteraceae,No visits,No visits,No visits,0,8,0.04,200,No visits
5,March 2011,LC_Cl,Eryngium ebracteatum,Apiaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
5,March 2011,LC_Cl,Conyza bonariensis,Asteraceae,No visits,No visits,No visits,0,370,1.85,200,No visits
