individual,plant,grain,fragment,insect,treatment,site,date,
SSS653,Grupo Carduus-Cirsium,1,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS653,Grupo Baccharis spp.,8,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS649,Grupo Eryngium spp.,630,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS649,Grupo Carduus-Cirsium,6,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS649,Grupo Baccharis spp.,18,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS649,Conyza sp.,2,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS652,Grupo Eryngium spp.,31,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS652,Grupo Carduus-Cirsium,1,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS652,Grupo Baccharis spp.,5,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS652,Conyza sp.,2,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS637,Grupo Baccharis spp.,295,C-leon,Tachytes pubescens,c,sc,Feb.11,
SSS637,Grupo Eryngium spp.,7,C-leon,Tachytes pubescens,c,sc,Feb.11,
SSS637,Grupo Carduus-Cirsium,7,C-leon,Tachytes pubescens,c,sc,Feb.11,
SSS637,Conyza sp.,21,C-leon,Tachytes pubescens,c,sc,Feb.11,
SSS619,Grupo Baccharis spp.,2472,C-v’as,Megachile (Pseudocentron) sp3,c,sc,Feb.11,
SSS619,Grupo Eryngium spp.,79,C-v’as,Megachile (Pseudocentron) sp3,c,sc,Feb.11,
SSS619,Conyza sp.,10,C-v’as,Megachile (Pseudocentron) sp3,c,sc,Feb.11,
SSS619,Grupo Carduus-Cirsium,41,C-v’as,Megachile (Pseudocentron) sp3,c,sc,Feb.11,
SSS619,Hirschfeldia incana,5,C-v’as,Megachile (Pseudocentron) sp3,c,sc,Feb.11,
SSS583,Grupo Carduus-Cirsium,267,A-v’as,Pseudagapostemon pampeanus,a,sc,Feb.11,
SSS583,Glycine max,1,A-v’as,Pseudagapostemon pampeanus,a,sc,Feb.11,
SSS583,Grupo Crepis-Hypochoeris,1,A-v’as,Pseudagapostemon pampeanus,a,sc,Feb.11,
SSS583,Grupo Baccharis spp.,2,A-v’as,Pseudagapostemon pampeanus,a,sc,Feb.11,
SSS641,Grupo Eryngium spp.,2,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS641,Grupo Carduus-Cirsium,29,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS641,Grupo Conium-Ammi,22,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS641,Conyza sp.,4,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS642,Grupo Baccharis spp.,10,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS642,Conyza sp.,4,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS642,Poaceae,3,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS642,Hirschfeldia incana,2,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS642,Grupo Eryngium spp.,3,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS642,Grupo Carduus-Cirsium,6,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS634,Grupo Carduus-Cirsium,2990,C-leon,Pseudagapostemon pampeanus,c,sc,Feb.11,
SSS634,Solanum sp.,12,C-leon,Pseudagapostemon pampeanus,c,sc,Feb.11,
SSS634,Grupo Eryngium spp.,3,C-leon,Pseudagapostemon pampeanus,c,sc,Feb.11,
SSS734,Hirschfeldia incana,1033,C-leon,Pseudagapostemon pampeanus,c,sc,Mar.11,
SSS734,Convolvulus sp.,4,C-leon,Pseudagapostemon pampeanus,c,sc,Mar.11,
SSS734,Grupo Lactuca-Sonchus,10,C-leon,Pseudagapostemon pampeanus,c,sc,Mar.11,
SSS734,Grupo Baccharis spp.,3,C-leon,Pseudagapostemon pampeanus,c,sc,Mar.11,
SSS734,Chenopodeaceae,6,C-leon,Pseudagapostemon pampeanus,c,sc,Mar.11,
SSS734,Grupo Carduus-Cirsium,1,C-leon,Pseudagapostemon pampeanus,c,sc,Mar.11,
SSS734,Grupo Eryngium spp.,11,C-leon,Pseudagapostemon pampeanus,c,sc,Mar.11,
SSS638,Grupo Baccharis spp.,6,C-leon,Polybia scutellaris,c,sc,Feb.11,
SSS636,Grupo Baccharis spp.,353,C-leon,Tachytes amazonus,c,sc,Feb.11,
SSS636,Conyza sp.,4,C-leon,Tachytes amazonus,c,sc,Feb.11,
SSS636,Grupo Carduus-Cirsium,2,C-leon,Tachytes amazonus,c,sc,Feb.11,
SSS636,indeterminate,1,C-leon,Tachytes amazonus,c,sc,Feb.11,
SSS636,Geranium sp.,1,C-leon,Tachytes amazonus,c,sc,Feb.11,
SSS636,Grupo Eryngium spp.,26,C-leon,Tachytes amazonus,c,sc,Feb.11,
SSS646,Grupo Eryngium spp.,1,C-leon,Tricharaea occidua,c,sc,Feb.11,
SSS646,Grupo Baccharis spp.,1,C-leon,Tricharaea occidua,c,sc,Feb.11,
SSS646,indeterminate,1,C-leon,Tricharaea occidua,c,sc,Feb.11,
SSS644,Grupo Eryngium spp.,1,C-leon,Tricharaea occidua,c,sc,Feb.11,
SSS644,Conyza sp.,2,C-leon,Tricharaea occidua,c,sc,Feb.11,
SSS645,Grupo Baccharis spp.,1,C-leon,Tricharaea occidua,c,sc,Feb.11,
SSS645,indeterminate,1,C-leon,Tricharaea occidua,c,sc,Feb.11,
SSS648,Grupo Eryngium spp.,72,C-leon,Tricharaea occidua,c,sc,Feb.11,
SSS648,Grupo Baccharis spp.,12,C-leon,Tricharaea occidua,c,sc,Feb.11,
SSS648,Grupo Carduus-Cirsium,1,C-leon,Tricharaea occidua,c,sc,Feb.11,
SSS647,Grupo Carduus-Cirsium,2,C-leon,Tricharaea occidua,c,sc,Feb.11,
SSS662,Grupo Eryngium spp.,2034,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS662,Grupo Carduus-Cirsium,3,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS664,Grupo Eryngium spp.,1949,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS664,Conyza sp.,1,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS650,Grupo Eryngium spp.,516,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS650,Grupo Baccharis spp.,404,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS650,indeterminate,3,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS738,Grupo Carduus-Cirsium,696,C-leon,Apis mellifera,c,sc,Mar.11,
SSS738,Hirschfeldia incana,96,C-leon,Apis mellifera,c,sc,Mar.11,
SSS738,Grupo Eryngium spp.,117,C-leon,Apis mellifera,c,sc,Mar.11,
SSS738,Grupo Baccharis spp.,23,C-leon,Apis mellifera,c,sc,Mar.11,
SSS747,Grupo Carduus-Cirsium,1676,C-leon,Apis mellifera,c,sc,Mar.11,
SSS747,Hirschfeldia incana,17,C-leon,Apis mellifera,c,sc,Mar.11,
SSS747,Chenopodeaceae,2,C-leon,Apis mellifera,c,sc,Mar.11,
SSS747,Grupo Baccharis spp.,12,C-leon,Apis mellifera,c,sc,Mar.11,
SSS747,Grupo Eryngium spp.,3,C-leon,Apis mellifera,c,sc,Mar.11,
SSS783,Grupo Carduus-Cirsium,534,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS783,Grupo Baccharis spp.,23,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS783,Hirschfeldia incana,22,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS783,Conyza sp.,1,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS783,Chenopodeaceae,9,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS783,Grupo Eryngium spp.,1,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS783,Gamochaeta sp.,111,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS757,Grupo Carduus-Cirsium,954,C-leon,Apis mellifera,c,sc,Mar.11,
SSS757,Grupo Baccharis spp.,6,C-leon,Apis mellifera,c,sc,Mar.11,
SSS756,Hirschfeldia incana,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS756,Grupo Eryngium spp.,3,C-leon,Apis mellifera,c,sc,Mar.11,
SSS756,Grupo Baccharis spp.,5,C-leon,Apis mellifera,c,sc,Mar.11,
SSS756,Chenopodeaceae,2,C-leon,Apis mellifera,c,sc,Mar.11,
SSS756,Solanum sp.,3,C-leon,Apis mellifera,c,sc,Mar.11,
SSS756,Grupo Carduus-Cirsium,1556,C-leon,Apis mellifera,c,sc,Mar.11,
SSS746,Conyza sp.,2,C-leon,Apis mellifera,c,sc,Mar.11,
SSS746,Grupo Baccharis spp.,20,C-leon,Apis mellifera,c,sc,Mar.11,
SSS746,Malvaceae,5,C-leon,Apis mellifera,c,sc,Mar.11,
SSS746,Grupo Eryngium spp.,2,C-leon,Apis mellifera,c,sc,Mar.11,
SSS746,Hirschfeldia incana,7,C-leon,Apis mellifera,c,sc,Mar.11,
SSS746,Poaceae,3,C-leon,Apis mellifera,c,sc,Mar.11,
SSS746,Grupo Carduus-Cirsium,1895,C-leon,Apis mellifera,c,sc,Mar.11,
SSS792,Grupo Carduus-Cirsium,1957,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS792,Hirschfeldia incana,7,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS792,Grupo Crepis-Hypochoeris,2,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS792,Grupo Baccharis spp.,8,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS792,Chenopodeaceae,3,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS797,Grupo Baccharis spp.,1203,A-v’as,Chlorion sp.,a,sc,Mar.11,
SSS797,Grupo Carduus-Cirsium,8,A-v’as,Chlorion sp.,a,sc,Mar.11,
SSS797,Conyza sp.,2,A-v’as,Chlorion sp.,a,sc,Mar.11,
SSS797,Poaceae,1,A-v’as,Chlorion sp.,a,sc,Mar.11,
SSS753,Grupo Carduus-Cirsium,2210,C-leon,Apis mellifera,c,sc,Mar.11,
SSS753,Grupo Baccharis spp.,4,C-leon,Apis mellifera,c,sc,Mar.11,
SSS753,Hirschfeldia incana,2,C-leon,Apis mellifera,c,sc,Mar.11,
SSS753,Glycine max,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS753,Grupo Lactuca-Sonchus,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS753,Poaceae,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS753,Grupo Eryngium spp.,2,C-leon,Apis mellifera,c,sc,Mar.11,
SSS753,Chenopodeaceae,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS778,Grupo Baccharis spp.,86,A-leon,Pseudagapostemon pampeanus,a,sc,Mar.11,
SSS778,Chenopodeaceae,2,A-leon,Pseudagapostemon pampeanus,a,sc,Mar.11,
SSS778,Hirschfeldia incana,1,A-leon,Pseudagapostemon pampeanus,a,sc,Mar.11,
SSS778,Grupo Carduus-Cirsium,1,A-leon,Pseudagapostemon pampeanus,a,sc,Mar.11,
SSS780,Grupo Baccharis spp.,62,A-leon,Braconidae sp5,a,sc,Mar.11,
SSS780,Poaceae,1,A-leon,Braconidae sp5,a,sc,Mar.11,
SSS780,Grupo Eryngium spp.,2,A-leon,Braconidae sp5,a,sc,Mar.11,
SSS780,Conyza sp.,1,A-leon,Braconidae sp5,a,sc,Mar.11,
SSS780,Chenopodeaceae,1,A-leon,Braconidae sp5,a,sc,Mar.11,
SSS794,Grupo Baccharis spp.,18,A-v’as,Bombus bellicosus,a,sc,Mar.11,
SSS794,Hirschfeldia incana,5,A-v’as,Bombus bellicosus,a,sc,Mar.11,
SSS794,Grupo Carduus-Cirsium,4334,A-v’as,Bombus bellicosus,a,sc,Mar.11,
SSS794,Chenopodeaceae,13,A-v’as,Bombus bellicosus,a,sc,Mar.11,
SSS794,Glycine max,2,A-v’as,Bombus bellicosus,a,sc,Mar.11,
SSS794,Poaceae,2,A-v’as,Bombus bellicosus,a,sc,Mar.11,
SSS794,Grupo Crepis-Hypochoeris,1,A-v’as,Bombus bellicosus,a,sc,Mar.11,
SSS766,Grupo Baccharis spp.,3160,A-leon,Dilophus sp.,a,sc,Mar.11,
SSS766,Grupo Carduus-Cirsium,14,A-leon,Dilophus sp.,a,sc,Mar.11,
SSS766,Malvaceae,17,A-leon,Dilophus sp.,a,sc,Mar.11,
SSS766,Hirschfeldia incana,1,A-leon,Dilophus sp.,a,sc,Mar.11,
SSS766,Chenopodeaceae,4,A-leon,Dilophus sp.,a,sc,Mar.11,
SSS795,Grupo Carduus-Cirsium,4600,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS795,Chenopodeaceae,1,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS795,Poaceae,1,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS795,Grupo Baccharis spp.,3,A-v’as,Apis mellifera,a,sc,Mar.11,
SSS750,Grupo Carduus-Cirsium,2478,C-leon,Apis mellifera,c,sc,Mar.11,
SSS750,Grupo Eryngium spp.,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS750,Grupo Baccharis spp.,25,C-leon,Apis mellifera,c,sc,Mar.11,
SSS750,Grupo Lactuca-Sonchus,11,C-leon,Apis mellifera,c,sc,Mar.11,
SSS750,Chenopodeaceae,2,C-leon,Apis mellifera,c,sc,Mar.11,
SSS750,Portulaca,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS750,Poaceae,2,C-leon,Apis mellifera,c,sc,Mar.11,
SSS750,Conyza sp.,5,C-leon,Apis mellifera,c,sc,Mar.11,
SSS750,Hirschfeldia incana,108,C-leon,Apis mellifera,c,sc,Mar.11,
SSS767,Grupo Carduus-Cirsium,31,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS767,Grupo Baccharis spp.,3,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS767,Chenopodeaceae,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS767,indeterminate,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS763,Grupo Carduus-Cirsium,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS751,Grupo Carduus-Cirsium,161,C-leon,Coleas lesbia,c,sc,Mar.11,
SSS751,Hirschfeldia incana,4,C-leon,Coleas lesbia,c,sc,Mar.11,
SSS751,Conyza sp.,1,C-leon,Coleas lesbia,c,sc,Mar.11,
SSS809,Solidago sp.,11,C-v’as,Bruchidius endotubercularis ,c,sc,Mar.11,
SSS801,Conyza sp.,79,C-v’as,Dialictus sp.14,c,sc,Mar.11,
SSS801,Grupo Carduus-Cirsium,1,C-v’as,Dialictus sp.14,c,sc,Mar.11,
SSS801,indeterminate,1,C-v’as,Dialictus sp.14,c,sc,Mar.11,
SSS765,Grupo Carduus-Cirsium,25,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS765,Grupo Baccharis spp.,6,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS808,Solidago sp.,37,C-v’as,Curculionidae sp11,c,sc,Mar.11,
SSS808,Chenopodeaceae,1,C-v’as,Curculionidae sp11,c,sc,Mar.11,
SSS811,Solidago sp.,34,C-v’as,Curculionidae sp12,c,sc,Mar.11,
SSS784,Conyza sp.,922,A-v’as,Entypus ferrugipennis,a,sc,Mar.11,
SSS784,Hirschfeldia incana,7,A-v’as,Entypus ferrugipennis,a,sc,Mar.11,
SSS784,Grupo Carduus-Cirsium,1,A-v’as,Entypus ferrugipennis,a,sc,Mar.11,
SSS784,Chenopodeaceae,6,A-v’as,Entypus ferrugipennis,a,sc,Mar.11,
SSS784,Poaceae,4,A-v’as,Entypus ferrugipennis,a,sc,Mar.11,
SSS784,Grupo Eryngium spp.,1,A-v’as,Entypus ferrugipennis,a,sc,Mar.11,
SSS777,Grupo Carduus-Cirsium,7,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS777,Hirschfeldia incana,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS777,Solidago sp.,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS777,Grupo Baccharis spp.,2,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS782,Grupo Carduus-Cirsium,24,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS782,Hirschfeldia incana,25,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS782,Solidago sp.,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS782,Grupo Baccharis spp.,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS782,Grupo Eryngium spp.,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS798,Conyza sp.,40,A-v’as,Polybia scutellaris,a,sc,Mar.11,
SSS798,Poaceae,32,A-v’as,Polybia scutellaris,a,sc,Mar.11,
SSS779,Grupo Carduus-Cirsium,35,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS770,Grupo Carduus-Cirsium,27,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS770,Hirschfeldia incana,3,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS770,Conyza sp.,5,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS793,Grupo Carduus-Cirsium,36,A-v’as,Lerodea eufala,a,sc,Mar.11,
SSS793,Conyza sp.,2,A-v’as,Lerodea eufala,a,sc,Mar.11,
SSS772,Conyza sp.,98,A-leon,Noctuidea sp4,a,sc,Mar.11,
SSS772,Grupo Carduus-Cirsium,3,A-leon,Noctuidea sp4,a,sc,Mar.11,
SSS807,Solidago sp.,915,C-v’as,Chauliognathus scriptus,c,sc,Mar.11,
SSS807,Grupo Carduus-Cirsium,6,C-v’as,Chauliognathus scriptus,c,sc,Mar.11,
SSS807,Grupo Eryngium spp.,21,C-v’as,Chauliognathus scriptus,c,sc,Mar.11,
SSS807,Hirschfeldia incana,2,C-v’as,Chauliognathus scriptus,c,sc,Mar.11,
SSS771,Grupo Carduus-Cirsium,61,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS771,Solidago sp.,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS771,Hirschfeldia incana,3,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS771,Asteraceae,3,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS768,Grupo Carduus-Cirsium,10,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS768,Hirschfeldia incana,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS769,Grupo Carduus-Cirsium,3,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS769,Grupo Eryngium spp.,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS764,Grupo Carduus-Cirsium,293,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS764,Hirschfeldia incana,3,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS764,Conyza sp.,3,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS810,Solidago sp.,62,C-v’as,Bruchidius endotubercularis ,c,sc,Mar.11,
SSS810,Chenopodeaceae,1,C-v’as,Bruchidius endotubercularis ,c,sc,Mar.11,
SSS776,Grupo Carduus-Cirsium,4,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS776,Hirschfeldia incana,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS776,Solidago sp.,1,A-leon,Coleas lesbia,a,sc,Mar.11,
SSS796,Conyza sp.,794,A-v’as,Entypus ferrugipennis,a,sc,Mar.11,
SSS796,Poaceae,2,A-v’as,Entypus ferrugipennis,a,sc,Mar.11,
SSS796,Grupo Carduus-Cirsium,53,A-v’as,Entypus ferrugipennis,a,sc,Mar.11,
SSS781,Conyza sp.,6,A-leon,Dialictus sp.20,a,sc,Mar.11,
SSS781,Hirschfeldia incana,1,A-leon,Dialictus sp.20,a,sc,Mar.11,
SSS781,Chenopodeaceae,1,A-leon,Dialictus sp.20,a,sc,Mar.11,
SSS754,Grupo Carduus-Cirsium,1556,C-leon,Apis mellifera,c,sc,Mar.11,
SSS754,Malvaceae,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS754,Grupo Baccharis spp.,20,C-leon,Apis mellifera,c,sc,Mar.11,
SSS754,Asteraceae,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS754,Chenopodeaceae,2,C-leon,Apis mellifera,c,sc,Mar.11,
SSS754,Grupo Eryngium spp.,20,C-leon,Apis mellifera,c,sc,Mar.11,
SSS755,Grupo Carduus-Cirsium,1980,C-leon,Apis mellifera,c,sc,Mar.11,
SSS755,Conyza sp.,52,C-leon,Apis mellifera,c,sc,Mar.11,
SSS755,Hirschfeldia incana,24,C-leon,Apis mellifera,c,sc,Mar.11,
SSS755,Grupo Eryngium spp.,3,C-leon,Apis mellifera,c,sc,Mar.11,
SSS755,Poaceae,3,C-leon,Apis mellifera,c,sc,Mar.11,
SSS755,Chenopodeaceae,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS749,Grupo Carduus-Cirsium,1648,C-leon,Apis mellifera,c,sc,Mar.11,
SSS749,Grupo Eryngium spp.,10,C-leon,Apis mellifera,c,sc,Mar.11,
SSS749,Conyza sp.,8,C-leon,Apis mellifera,c,sc,Mar.11,
SSS749,Hirschfeldia incana,32,C-leon,Apis mellifera,c,sc,Mar.11,
SSS749,Poaceae,2,C-leon,Apis mellifera,c,sc,Mar.11,
SSS749,Chenopodeaceae,7,C-leon,Apis mellifera,c,sc,Mar.11,
SSS749,Grupo Lactuca-Sonchus,5,C-leon,Apis mellifera,c,sc,Mar.11,
SSS752,Grupo Carduus-Cirsium,2466,C-leon,Apis mellifera,c,sc,Mar.11,
SSS752,Hirschfeldia incana,10,C-leon,Apis mellifera,c,sc,Mar.11,
SSS752,Grupo Eryngium spp.,8,C-leon,Apis mellifera,c,sc,Mar.11,
SSS752,Conyza sp.,41,C-leon,Apis mellifera,c,sc,Mar.11,
SSS752,indeterminate,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS752,indeterminate,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS752,Poaceae,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS752,Chenopodeaceae,3,C-leon,Apis mellifera,c,sc,Mar.11,
SSS748,Grupo Carduus-Cirsium,2361,C-leon,Apis mellifera,c,sc,Mar.11,
SSS748,Chenopodeaceae,2,C-leon,Apis mellifera,c,sc,Mar.11,
SSS748,Conyza sp.,6,C-leon,Apis mellifera,c,sc,Mar.11,
SSS748,Hirschfeldia incana,6,C-leon,Apis mellifera,c,sc,Mar.11,
SSS748,Poaceae,1,C-leon,Apis mellifera,c,sc,Mar.11,
SSS748,Glycine max,1,C-leon,Apis mellifera,c,sc,Mar.11,
LLL22,Sisyrinchium platense,7,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL22,Pamphalea bupleurifolia,45,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL22,Grupo Eryngium spp.,4,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL22,Aster squamatus,3,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL22,Alternalthera sp.,1,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL11,Lythrum sp.,9,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL11,Aster squamatus,2,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL11,Sisyrinchium platense,1,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL11,Poaceae,6,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL23,Poaceae,22,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL23,Lythrum sp.,6,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL23,Sisyrinchium platense,2,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL23,Pamphalea bupleurifolia,1,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL13,Lythrum sp.,6,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL13,Pamphalea bupleurifolia,10,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL13,Poaceae,7,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL15,Poaceae,517,2agr,Oxysarcodexia varia,a,lc,Nov.10,
LLL15,Cypella herbertii,12,2agr,Oxysarcodexia varia,a,lc,Nov.10,
LLL15,Asteraceae,1,2agr,Oxysarcodexia varia,a,lc,Nov.10,
LLL17,Lythrum sp.,30,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL17,Poaceae,7,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL12,Sisyrinchium platense,745,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL12,Cypella herbertii,1,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL12,Poaceae,2,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL12,Pamphalea bupleurifolia,1,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL21,Lythrum sp.,1,2agr,Lerodea eufala,a,lc,Nov.10,
LLL21,Pamphalea bupleurifolia,1,2agr,Lerodea eufala,a,lc,Nov.10,
LLL21,Aster squamatus,2,2agr,Lerodea eufala,a,lc,Nov.10,
LLL21,Poaceae,3,2agr,Lerodea eufala,a,lc,Nov.10,
LLL21,Cypella herbertii,2,2agr,Lerodea eufala,a,lc,Nov.10,
LLL37,Lythrum sp.,7,1agr,Dialictus sp.1,a,lc,Nov.10,
LLL37,Aster squamatus,4,1agr,Dialictus sp.1,a,lc,Nov.10,
LLL37,Poaceae,3,1agr,Dialictus sp.1,a,lc,Nov.10,
LLL37,indeterminate,1,1agr,Dialictus sp.1,a,lc,Nov.10,
LLL24,Cypella herbertii,11,1agr,Oxysarcodexia varia,a,lc,Nov.10,
LLL24,Lythrum sp.,40,1agr,Oxysarcodexia varia,a,lc,Nov.10,
LLL24,Poaceae,68,1agr,Oxysarcodexia varia,a,lc,Nov.10,
LLL24,Asteraceae,7,1agr,Oxysarcodexia varia,a,lc,Nov.10,
LLL16,Cypella herbertii,1902,1agr,Dialictus sp.1,a,lc,Nov.10,
LLL16,Poaceae,5,1agr,Dialictus sp.1,a,lc,Nov.10,
LLL16,Lythrum sp.,2,1agr,Dialictus sp.1,a,lc,Nov.10,
LLL32,Grupo Eryngium spp.,220,Cl,Aristosyrphus sp.,c,lc,Nov.10,
LLL32,Cypella herbertii,3,Cl,Aristosyrphus sp.,c,lc,Nov.10,
LLL32,Poaceae,8,Cl,Aristosyrphus sp.,c,lc,Nov.10,
LLL36,Senecio sp.,365,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL36,Poaceae,10,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL36,Lythrum sp.,2,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL10,Poaceae,28,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL10,Aster squamatus,74,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL10,Picrocia longifolia,2,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL10,Lythrum sp.,46,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL10,Sisyrinchium platense,5,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL18,Poaceae,9,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL18,Aster squamatus,1,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL18,Lythrum sp.,14,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL18,Picrocia longifolia,1,2agr,Toxomerus sp.,a,lc,Nov.10,
LLL26,Sisyrinchium platense,76,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL26,Picrocia longifolia,64,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL26,Pamphalea bupleurifolia,6,1agr,Toxomerus sp.,a,lc,Nov.10,
LLL26,Lythrum sp.,11,1agr,Toxomerus sp.,a,lc,Nov.10,
